TP_FUNDO,CNPJ_FUNDO,DENOM_SOCIAL,DT_REG,DT_CONST,CD_CVM,DT_CANCEL,SIT,DT_INI_SIT,DT_INI_ATIV,DT_INI_EXERC,DT_FIM_EXERC,CLASSE,DT_INI_CLASSE,RENTAB_FUNDO,CONDOM,FUNDO_COTAS,FUNDO_EXCLUSIVO,TRIB_LPRAZO,PUBLICO_ALVO,ENTID_INVEST,TAXA_PERFM,INF_TAXA_PERFM,TAXA_ADM,INF_TAXA_ADM,VL_PATRIM_LIQ,DT_PATRIM_LIQ,DIRETOR,CNPJ_ADMIN,ADMIN,PF_PJ_GESTOR,CPF_CNPJ_GESTOR,GESTOR,CNPJ_AUDITOR,AUDITOR,CNPJ_CUSTODIANTE,CUSTODIANTE,CNPJ_CONTROLADOR,CONTROLADOR,INVEST_CEMPR_EXTER,CLASSE_ANBIMA
FI,09531731000138,SAFRA SIMPLES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA DE CURTO PRAZO,2008-07-24,2008-07-10,112909,2018-08-31,CANCELADA,2018-08-31,2008-07-29,2021-07-01,2022-06-30,Renda Fixa,2016-04-11,DI de um dia,Aberto,S,N,N,null,null,null,null,4.8,null,0,2018-09-11,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09531733000127,SAFRA PETROBRÁS YIELD 2 FIC FI AÇÕES,2008-06-09,2008-05-30,109711,2010-12-10,CANCELADA,2010-12-10,2008-06-13,2021-04-01,2022-03-31,Ações,2008-05-30,Ibovespa,Aberto,S,N,N,null,null,null,null,3,null,21435942.91,2010-12-09,LUIZ ANTONIO PEREIRA LAMBOGLIA,43.826.833/0001-19,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,PJ,03.017.677/0001-20,BANCO J. SAFRA S.A.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
FI,09531733000127,SAFRA PETROBRÁS YIELD 2 FIC FI AÇÕES,2008-06-09,2008-05-30,109711,2010-12-10,CANCELADA,2010-12-10,2008-06-13,2021-04-01,2022-03-31,Ações,2008-05-30,Ibovespa,Aberto,S,N,N,null,null,null,null,3,null,21435942.91,2010-12-09,LUIZ ANTONIO PEREIRA LAMBOGLIA,43.826.833/0001-19,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,PJ,07.002.898/0001-86,BANCO SAFRA BSI S/A,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
FI,09531741000173,PINTASSILGO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,2008-06-03,2008-05-27,109240,2008-12-16,CANCELADA,2008-12-16,2008-06-10,2021-04-01,2022-03-31,Ações,2008-05-27,Ibovespa,Aberto,S,N,null,null,null,null,null,null,"0,30",11839441.49,2008-12-15,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09531746000104,BORDEAUX - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,2008-05-28,2008-05-21,108928,2011-06-13,CANCELADA,2011-06-13,2008-12-19,2021-04-01,2022-03-31,Multimercado,2008-05-21,DI de um dia,Aberto,N,N,S,null,null,null,null,null,null,0,2011-06-20,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09531769000100,SAFRA PETROBRAS 2 FIF CIC EM AÇÕES RESP LIMITADA,2008-06-20,2008-06-12,110566,2025-05-23,CANCELADA,2025-05-23,2008-06-19,2025-04-01,2026-03-31,Ações,2008-06-12,Ibovespa,Aberto,S,N,null,Público Geral,null,0,null,3.5,null,0,2025-05-26,MARCIO AURELIO DE NOBREGA,06.947.853/0001-11,SAFRA SERVIÇOS DE ADMINISTRAÇÃO FIDUCIÁRIA LTDA.,PJ,65.913.436/0001-17,SAFRA ASSET CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,Fundos de Mono Ação
FI,09531783000104,SAFRA ABSOLUTO - FUNDO DE INVESTIMENTO MULTIMERCADO,2008-06-20,2008-06-18,110604,2020-11-20,CANCELADA,2020-11-20,2008-06-23,2021-04-01,2022-03-31,Multimercado,2008-06-18,DI de um dia,Aberto,N,N,S,null,null,0,null,0,null,0,2020-11-20,LUIZ ANTONIO NAVARRO LIMA,06.947.853/0001-11,SAFRA SERVIÇOS DE ADMINISTRAÇÃO FIDUCIÁRIA LTDA.,PJ,62.180.047/0001-31,SAFRA ASSET MANAGEMENT LTDA.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
FI,09535161000154,BB EXCELENCIA 25 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA LONGO PRAZO,2008-05-15,2008-05-07,108391,2009-04-08,CANCELADA,2009-04-08,2008-05-16,2021-01-01,2021-12-31,Renda Fixa,2008-05-07,DI de um dia,Aberto,S,S,S,null,null,null,null,null,"0,50",0,2009-04-07,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09535700000155,SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES INSTITUCIONAL IBRX,2008-05-09,2008-05-02,108090,2016-12-28,CANCELADA,2016-12-28,2008-06-30,2021-01-01,2021-12-31,Ações,2008-05-02,IBrX,Aberto,N,N,N,null,null,0,null,1.5,null,0,2017-01-02,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09535798000140,SAFRA VALE YIELD 2 FIC FI AÇÕES,2008-06-26,2008-06-19,110930,2010-12-10,CANCELADA,2010-12-10,2008-07-04,2021-04-01,2022-03-31,Ações,2008-06-19,Ibovespa,Aberto,S,N,N,null,null,null,null,3,null,15867062,2010-12-09,LUIZ ANTONIO PEREIRA LAMBOGLIA,43.826.833/0001-19,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,PJ,03.017.677/0001-20,BANCO J. SAFRA S.A.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
FI,09535798000140,SAFRA VALE YIELD 2 FIC FI AÇÕES,2008-06-26,2008-06-19,110930,2010-12-10,CANCELADA,2010-12-10,2008-07-04,2021-04-01,2022-03-31,Ações,2008-06-19,Ibovespa,Aberto,S,N,N,null,null,null,null,3,null,15867062,2010-12-09,LUIZ ANTONIO PEREIRA LAMBOGLIA,43.826.833/0001-19,TURMALINA GESTÃO E ADMINISTRAÇÃO DE RECURSOS S.A.,PJ,07.002.898/0001-86,BANCO SAFRA BSI S/A,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,58.160.789/0001-28,BANCO SAFRA S/A,58.160.789/0001-28,BANCO SAFRA S/A,N,null
FI,09536081000113,API FUNDO DE INVESTIMENTO EM AÇÕES,2008-09-22,2008-09-22,115380,2009-02-17,CANCELADA,2009-02-17,null,null,null,Ações,2008-09-22,Ibovespa,Aberto,N,N,null,null,null,null,null,null,"0,12%",null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536083000102,BRADESCO VITÓRIA FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO,2008-09-17,2008-09-17,115282,2016-11-25,CANCELADA,2016-11-25,2008-10-10,2021-09-01,2022-08-31,Renda Fixa,2008-09-17,DI de um dia,Aberto,N,N,S,null,null,0,null,0.03,null,0,2016-12-07,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536094000192,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO HÁRPIA,2008-09-16,2008-09-16,115177,2020-07-24,CANCELADA,2020-07-24,2008-10-03,2021-09-01,2022-08-31,Multimercado,2015-04-13,Ibovespa,Aberto,S,S,null,null,null,0,null,0,null,0,2020-07-29,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536098000170,BRA MODERADO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO,2008-10-30,2008-10-24,117072,2012-12-10,CANCELADA,2012-12-10,2009-03-02,2021-10-01,2022-09-30,Multimercado,2008-10-24,DI de um dia,Aberto,S,N,S,null,null,15,null,null,"0,575",0,2012-12-17,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536102000109,PERSONALE DRIVE FUNDO DE INVESTIMENTO MULTIMERCADO,2008-09-18,2008-09-18,115339,2016-11-22,CANCELADA,2016-11-22,2008-11-04,2021-09-01,2022-08-31,Multimercado,2008-09-18,Não se aplica,Aberto,N,N,N,null,null,0,null,0.27,null,0,2016-12-07,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536109000112,MACRO GÁVEA MASTER FUNDO DE INVESTIMENTO MULTIMERCADO,2008-10-09,2008-10-09,116394,2008-12-08,CANCELADA,2008-12-08,2008-11-06,2021-09-01,2022-08-31,Multimercado,2008-10-09,DI de um dia,Aberto,N,N,S,null,null,null,null,null,"0,125%",232557268.34,2008-12-05,LUIS CLAUDIO DE FREITAS COELHO PEREIRA,00.066.670/0001-00,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PJ,05.634.054/0001-22,GAVEA GESTAO DE INVESTIMENTOS LTDA,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,60.746.948/0001-12,BANCO BRADESCO S.A.,N,null
FI,09536114000125,FRAM CAPITAL WISTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,2008-09-15,2008-09-10,114952,2012-01-30,CANCELADA,2012-01-30,2008-09-11,2021-09-01,2022-08-31,Ações,2008-09-10,Ibovespa,Aberto,S,N,null,null,null,20,null,3,null,3427211.17,2012-01-26,ANDRE BERNARDINO DA CRUZ FILHO,00.066.670/0001-00,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PJ,09.220.266/0001-14,FRAM CAPITAL EQUITIES - GESTÃO DE ATIVOS LTDA.,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,60.746.948/0001-12,BANCO BRADESCO S.A.,N,null
FI,09536222000106,SUDMADRID FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,2008-10-16,2008-10-13,116653,2013-04-03,CANCELADA,2013-04-03,2008-10-16,2021-10-01,2022-09-30,Multimercado,2008-10-13,OUTROS,Aberto,N,N,N,null,null,null,null,null,"1,31%",0,2013-04-11,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536225000131,RV 16 FUNDO DE INVESTIMENTO MULTIMERCADO,2008-07-03,2008-06-24,111635,2009-08-28,CANCELADA,2009-08-28,2008-10-16,2021-05-01,2022-04-30,Multimercado,2008-06-24,DI de um dia,Aberto,N,N,null,null,null,null,null,null,null,0,2009-09-14,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09536227000120,PROSPÉRITÉ FUNDO DE INVESTIMENTO E COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,2008-07-22,2008-07-04,112720,2010-05-21,CANCELADA,2010-05-21,2008-08-21,2021-07-01,2022-06-30,Multimercado,2008-07-04,DI de um dia,Aberto,S,N,null,null,null,null,null,null,null,0,2010-06-25,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09539907000106,POLAND BOI EXCLUSIVO - FUNDO DE INVESTIMENTO MULTIMERCADO,2008-05-19,2008-04-29,108480,2009-05-06,CANCELADA,2009-05-06,2008-05-27,2021-06-01,2022-05-31,Multimercado,2008-04-29,DI de um dia,Aberto,N,S,S,null,null,20,20 s/ o que exceder o CDI,null,"0,2",0,2009-05-05,null,null,null,null,null,null,null,null,null,null,null,null,S,null
FI,09541933000160,SDU FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,2008-07-28,2008-07-17,112984,2010-08-30,CANCELADA,2010-08-30,2008-09-30,2021-07-01,2022-06-30,Multimercado,2008-07-17,DI de um dia,Aberto,N,N,null,null,null,null,null,null,null,0,2010-09-09,null,null,null,null,null,null,null,null,null,null,null,null,S,null
FI,09542152000190,BRUMEL FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,2008-06-12,2008-03-07,109991,2023-08-31,CANCELADA,2023-08-31,2008-06-13,2023-06-01,2024-05-31,Multimercado,2008-03-07,DI de um dia,Aberto,N,N,N,Profissional,null,0,null,0.28,null,0,2023-09-04,ANDRE BERNARDINO DA CRUZ FILHO,00.066.670/0001-00,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PJ,12.695.840/0001-03,BTG PACTUAL GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA,57.755.217/0001-29,KPMG AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,60.746.948/0001-12,BANCO BRADESCO S.A.,S,Multimercados Invest. no Exterior
FI,09542161000181,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO REFERENCIADO DI TITULOS PÚBLIC 2,2008-06-13,2008-03-07,110183,2011-10-28,CANCELADA,2011-10-28,2008-06-20,2021-06-01,2022-05-31,Referenciado,2008-03-07,DI de um dia,Aberto,S,N,S,null,null,null,null,null,"0,150000",0,2012-03-15,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542180000108,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO PETROBRÁS PLUS 6 AÇÕES,2008-06-13,2008-03-07,110175,2009-06-26,CANCELADA,2009-06-26,2008-06-20,2021-04-01,2022-03-31,Ações,2008-03-07,OUTROS,Aberto,S,N,null,null,null,null,null,1,null,0,2009-06-26,FERNANDO JOSÉ DE OLIVEIRA PIRES DOS SANTOS,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,PJ,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,N,null
FI,09542243000126,SANTANDER FUNDO DE INVESTIMENTO PETROBRÁS VIP 2 AÇÕES,2008-06-13,2008-03-07,110167,2009-06-26,CANCELADA,2009-06-26,2008-06-20,2021-04-01,2022-03-31,Ações,2008-03-07,OUTROS,Aberto,N,N,null,null,null,null,null,null,"2,000000",0,2009-06-26,FERNANDO JOSÉ DE OLIVEIRA PIRES DOS SANTOS,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,PJ,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,N,null
FI,09542276000176,SANTANDER FUNDO DE INVESTIMENTO PETROBRÁS PLUS 7 AÇÕES,2008-06-18,2008-03-07,110442,2009-06-26,CANCELADA,2009-06-26,2008-06-27,2021-04-01,2022-03-31,Ações,2008-03-07,OUTROS,Aberto,N,N,null,null,null,null,null,3,null,0,2009-06-26,FERNANDO JOSÉ DE OLIVEIRA PIRES DOS SANTOS,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,PJ,73.159.642/0001-01,SANTANDER ASSET MANAGEMENT DTVM LTDA.,49.928.567/0001-11,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,N,null
FI,09542519000176,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I A,2008-11-10,2008-11-10,117366,2013-08-30,CANCELADA,2013-08-30,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,Índice Geral de Preços-Mercado (IGP-M),Aberto,N,N,null,null,null,null,null,null,0,0,2013-09-09,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542533000170,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I B,2008-11-10,2008-11-10,117374,2018-08-08,CANCELADA,2018-08-08,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,OUTROS,Aberto,N,N,null,null,null,0,null,0,null,0,2018-08-14,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542558000173,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA I C,2008-11-10,2008-11-10,117382,2013-08-30,CANCELADA,2013-08-30,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,Índice Geral de Preços-Mercado (IGP-M),Aberto,N,N,null,null,null,null,null,null,0,0,2013-09-09,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542566000110,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA II A,2008-11-10,2008-11-10,117390,2014-05-22,CANCELADA,2014-05-22,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,Índice Geral de Preços-Mercado (IGP-M),Aberto,N,N,null,null,null,null,null,null,"0,00",0,2014-06-02,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542585000146,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA II B,2008-11-10,2008-11-10,117404,2013-04-03,CANCELADA,2013-04-03,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,Índice Geral de Preços-Mercado (IGP-M),Aberto,N,N,null,null,null,null,null,null,"0,00",0,2013-04-10,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542593000192,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ULTRA II C,2008-11-10,2008-11-10,117412,2013-09-11,CANCELADA,2013-09-11,2008-11-14,2021-10-01,2022-09-30,Renda Fixa,2008-11-10,Índice Geral de Preços-Mercado (IGP-M),Aberto,N,N,null,null,null,null,null,null,"0,00",0,2013-09-17,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542636000130,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO TUBE,2008-11-14,2008-11-14,117501,2017-09-15,CANCELADA,2017-09-15,2008-12-16,2020-11-01,2021-10-31,Renda Fixa,2016-06-23,DI de um dia,Aberto,N,N,S,null,null,0,null,0.2,null,0,2017-09-27,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542645000120,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO FIRENZE,2008-11-17,2008-11-17,117560,2017-07-17,CANCELADA,2017-07-17,2008-11-18,2021-10-01,2022-09-30,Renda Fixa,2008-11-17,OUTROS,Aberto,N,N,S,null,null,0,null,0.15,null,0,2017-08-02,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542662000168,VISIONE FUNDO DE INVESTIMENTO MULTIMERCADO LONGO PRAZO,2008-07-30,2008-07-30,113190,2008-12-26,CANCELADA,2008-12-26,2008-08-13,2021-07-01,2022-06-30,Multimercado,2008-07-30,DI de um dia,Aberto,N,N,S,null,null,20,null,2,null,0,2008-12-24,null,null,null,null,null,null,null,null,null,null,null,null,N,null
FI,09542668000135,FRAM CAPITAL WISTING FUNDO DE INVESTIMENTO EM AÇÕES,2008-08-04,2008-08-04,113468,2012-01-30,CANCELADA,2012-01-30,2008-08-14,2021-08-01,2022-07-31,Ações,2008-08-04,Ibovespa,Aberto,N,N,null,null,null,null,null,0,null,3443346.44,2012-01-26,ANDRE BERNARDINO DA CRUZ FILHO,00.066.670/0001-00,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PJ,09.220.266/0001-14,FRAM CAPITAL EQUITIES - GESTÃO DE ATIVOS LTDA.,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,60.746.948/0001-12,BANCO BRADESCO S.A.,60.746.948/0001-12,BANCO BRADESCO S.A.,N,null
