documento,data_reg,taxa,valor,cidade
09720710000160,2008-09-26,8,267527820.21,Minas Gerais
30871793000185,2018-07-18,null,314177149.54,São Paulo
45823709000125,2022-12-08,1,15551104.5,São Paulo
12241282000106,2011-09-22,0.02,65426513.89,São Paulo
34553995000130,2019-11-25,null,8900515.53,São Paulo
44638527000111,2022-10-21,null,17588166.32,São Paulo
47388724000118,2023-02-28,null,435374.17,Rio de Janeiro
45722284000168,2022-04-17,null,15029391.07,São Paulo
07143386000130,2004-11-16,null,614165.85,Pará
17137984000150,2014-09-11,0.02,3061686329.58,São Paulo
26545537000120,2016-11-28,null,606645.44,São Paulo
51539073000197,2023-07-24,null,19523268.98,São Paulo
36443587000150,2020-03-09,3,21280715.43,Minas Gerais
09284554000132,2008-05-29,0.12,191057769.34,São Paulo
50995214000113,2023-06-09,null,97519417.2,São Paulo
07657641000162,2008-06-10,0.7,4572264.72,São Paulo
42294971000131,2021-07-02,8,209793852.68,Minas Gerais
42691990000100,2022-02-01,null,28445029.02,Minas Gerais
49920326000126,2023-03-13,null,190549928.06,São Paulo
51295092000115,2023-07-04,null,2367149.05,São Paulo
34509036000117,2019-09-16,null,401742065.74,São Paulo
52317938000133,2023-09-26,null,3257185.51,São Paulo
30687646000150,2018-12-05,null,44044506.32,São Paulo
01964775000140,1997-06-11,null,1484965.19,São Paulo
47463511000103,2022-12-09,null,4402769.94,São Paulo
51033013000106,2023-06-13,null,4224343.58,São Paulo
06537068000190,2004-08-02,null,1260.7,Pará
33361798000156,2019-06-18,0.8,7575485.02,São Paulo
44428806000150,2022-09-25,null,123772979.21,São Paulo
35686949000171,2019-12-19,null,19598618.74,São Paulo
20378135000100,2014-08-06,0.17,1831833.56,São Paulo
42692399000169,2022-05-24,null,102490497.54,Minas Gerais
44870636000160,2022-04-22,null,151652121.25,São Paulo
43619349000119,2021-10-25,null,122223658.12,São Paulo
49651212000128,2023-02-17,null,43025209.8,São Paulo
52116361000100,2023-09-08,null,48987586.73,São Paulo
13451738000117,2011-02-28,null,22668033.18,São Paulo
48900133000140,2022-12-15,null,591565351.39,São Paulo
46334681000125,2022-07-21,null,10497613.99,São Paulo
52356865000199,2023-09-28,null,12303082.3,São Paulo
29315243000109,2019-03-18,2,901700942.76,São Paulo
47984249000142,2022-11-30,null,3676461.59,São Paulo
29843196000168,2018-03-19,null,12194117.21,São Paulo
21596006000143,2015-01-19,0.12,240575854.79,São Paulo
42700668000191,2021-11-29,null,65897570.45,Rio de Janeiro
52174102000127,2023-09-13,null,261028116.65,São Paulo
47372648000152,2022-08-30,null,2671425.13,São Paulo
43106870000152,2022-04-19,null,69179859.72,São Paulo
12124044000102,2010-08-26,1.5,553956292.03,São Paulo
41081374000166,2021-03-23,null,191968095.26,São Paulo
28850140000178,2017-10-16,null,21400638.24,São Paulo
14167550000104,2012-05-11,0,62867671.2,São Paulo
39581746000171,2020-11-30,null,503174396.28,São Paulo
49592781000140,2023-02-14,null,346922775.8,Rio de Janeiro
48964604000184,2022-12-22,null,1293504.85,São Paulo
39447231000183,2021-11-26,null,5200416.53,São Paulo
16617593000170,2012-08-02,2.5,1033528.17,São Paulo
27486551000163,2017-06-02,null,604067.12,São Paulo
50963249000170,2023-06-06,null,100792939.42,São Paulo
29983516000185,2020-01-08,1.2,70785847.72,São Paulo
48993165000138,2022-12-28,0,53415735.7,São Paulo
20879578000177,2015-01-07,0.5,1369194686.76,Minas Gerais
43721652000128,2022-03-31,null,305676784.83,São Paulo
34617291000183,2019-09-11,855,5018082.48,Minas Gerais
46929959000107,2022-10-31,null,72616547.25,São Paulo
26862104000107,2017-03-07,5,10556780.05,Minas Gerais
46729394000114,2022-07-04,5,3716137.24,Minas Gerais
32140484000160,2019-02-22,null,583222865.7,São Paulo
21613190000192,2015-01-07,null,601986395.72,São Paulo
42627796000157,2021-09-17,null,338358106.27,São Paulo
33033191000147,2019-12-17,0.8816,89925707.21,Rio de Janeiro
14171578000115,2012-06-27,0,486526163.13,Rio de Janeiro
15018580000111,2012-03-23,null,1660525513.69,São Paulo
45018608000181,2022-05-06,0.5,56291072.89,São Paulo
50443649000155,2023-04-25,null,207470746.98,Rio de Janeiro
41922654000150,2021-05-18,null,6379347.37,São Paulo
11147668000182,2010-06-16,0.7,186976265.29,São Paulo
52349539000154,2023-09-28,null,19946519.13,São Paulo
21185984000100,2014-12-30,0.4,2448437512.83,São Paulo
09087301000179,2010-05-25,0.5,109423069.22,São Paulo
48513136000121,2022-11-18,null,13843084.65,São Paulo
44603407000189,2021-12-22,null,35019373.18,São Paulo
52116337000162,2023-09-08,null,84724353.18,São Paulo
02539921000152,2005-03-22,0.52,178497352.31,São Paulo
44680491000134,2022-01-03,null,420769590.83,São Paulo
47279999000113,2022-12-09,null,6010936.16,São Paulo
41579637000161,2021-12-07,null,176724302.45,São Paulo
48992508000140,2022-12-28,null,11493949.09,São Paulo
35725626000140,2020-03-06,null,5136154462.57,São Paulo
33498764000108,2020-05-26,null,14654561.13,São Paulo
37806055000101,2020-08-20,0,294830892.57,Rio de Janeiro
36293425000183,2020-02-19,null,66936526.13,Minas Gerais
49914023000109,2023-03-13,0,167734972.07,São Paulo
08621199000187,2016-01-04,null,161827873.73,São Paulo
29323865000170,2018-01-17,null,667436246.58,São Paulo
17453850000148,2013-04-17,1,1193170945.99,São Paulo
09636393000107,2008-09-03,0.35,8390636052.23,São Paulo
11283444000106,2009-11-27,null,366774540.88,São Paulo
45899588000103,2022-08-03,null,1268242.73,São Paulo
08771975000125,2007-10-25,0.11,6385489769.12,São Paulo
51777660000114,2023-08-11,null,30878882.76,São Paulo
45953169000102,2022-05-02,0,45053031.54,Rio de Janeiro
50071531000143,2023-03-24,null,100444054.34,São Paulo
45019040000113,2022-02-14,null,65811214.08,São Paulo
32907653000145,2019-11-26,null,23728810.91,São Paulo
49223648000116,2023-01-17,null,0,São Paulo
43508144000166,2021-09-27,null,94030835.08,Rio de Janeiro
50750438000165,2023-05-19,null,323975648.65,Rio de Janeiro
38249518000136,2021-12-15,null,32380127.43,São Paulo
35580324000120,2019-11-27,1.85,91361768.75,Rio de Janeiro
14311936000148,2011-09-23,null,5219076,São Paulo
07672392000184,2006-02-01,2,10271354.8,São Paulo
35654738000157,2021-08-02,null,200091359.03,São Paulo
39347413000182,2020-10-09,null,116190085.93,São Paulo
49995610000161,2023-03-20,25,450875509.65,Minas Gerais
47372688000102,2022-08-30,null,3361933.07,São Paulo
43122453000101,2021-10-01,null,137647909.92,São Paulo
18579353000153,2013-07-31,null,903374.56,São Paulo
18356327000166,2013-11-18,null,234978.48,São Paulo
50943777000168,2023-06-05,null,29866533.05,São Paulo
39540780000106,2021-02-17,7,39807502.95,Minas Gerais
34598181000111,2019-09-05,null,452001000.67,Minas Gerais
14769978000127,2011-12-30,null,713796705.63,São Paulo
09110175000126,2007-12-28,null,1186684.99,São Paulo
49506998000190,2023-02-07,0.3,27040167.7,Minas Gerais
35137939000187,2019-10-14,null,14433236.11,São Paulo
45521649000196,2022-06-21,null,230428283.4,São Paulo
30282270000101,2018-12-19,0.0005,6264358575.44,São Paulo
17198500000182,2012-12-13,null,162010992.72,São Paulo
48373428000106,2022-12-09,null,54479802.75,São Paulo
15437768000102,2012-04-20,null,791558124.45,São Paulo
42656644000182,2022-03-08,null,11862714.69,Minas Gerais
24372158000150,2016-04-15,0.08,23626944.34,Rio de Janeiro
18448137000179,2013-09-16,2.5,4269177.58,Rio Grande do Sul
42357817000161,2022-03-08,null,46452202.63,São Paulo
50197313000150,2023-04-04,45,213694382.78,Minas Gerais
50462226000182,2023-04-26,null,44708309.81,São Paulo
33913584000145,2019-12-30,0.09,6876880.46,São Paulo
49429700000195,2023-02-01,0,65344619.01,São Paulo
44104852000102,2022-06-21,5,8783097.76,Minas Gerais
32222759000105,2019-06-18,0.065,20424036.3,São Paulo
45018643000109,2022-05-06,0.15,237690746.63,São Paulo
05090727000120,2005-03-16,0.15,635073350.68,São Paulo
36412972000130,2020-09-10,null,5156801.75,São Paulo
05104498000156,2005-03-22,0.5,33067405.76,São Paulo
43236479000172,2021-08-26,null,6553378.16,São Paulo
33354650000194,2019-07-15,null,232838129.7,Minas Gerais
28320756000137,2019-01-17,0.5,3035611410.71,São Paulo
31963246000192,2019-03-18,2,2488248.35,São Paulo
40905548000103,2021-03-01,1,34875454.72,Rio de Janeiro
37087982000100,2020-05-11,null,848377.45,São Paulo
50587789000105,2023-05-08,null,82132717.6,São Paulo
37651102000187,2022-02-02,null,110478913.01,São Paulo
42562105000184,2022-01-18,null,0,São Paulo
45788850000134,2022-07-07,null,4008890188.85,São Paulo
27826059000190,2017-10-23,0.6,217155719.11,Minas Gerais
43876638000101,2022-03-08,null,4765027.17,Minas Gerais
50312715000158,2023-04-13,null,174841179.54,São Paulo
07110963000197,2005-02-11,0.15,4371767368.75,São Paulo
21254224000108,2014-10-27,null,18889786.18,São Paulo
12271294000175,2010-09-23,null,113245944.88,São Paulo
49637003000120,2023-02-16,null,130423320.71,São Paulo
18653128000110,2013-08-13,null,101951786.23,São Paulo
17213759000155,2013-05-20,null,332436812.15,São Paulo
36729755000179,2020-06-19,0.9,219973484.55,Rio de Janeiro
32321319000105,2021-07-23,null,1215227.93,São Paulo
49983964000196,2023-03-17,null,723976343.06,São Paulo
32244578000180,2019-02-11,null,33982127.42,São Paulo
36731458000168,2020-04-23,null,72851878.75,São Paulo
42196361000103,2022-11-04,null,1726899.04,São Paulo
50948197000163,2023-06-05,null,990299.19,São Paulo
22802858000102,2015-07-08,null,833157877.09,São Paulo
22219279000131,2015-04-13,null,26425699.66,São Paulo
30871738000195,2018-07-18,null,386700.25,São Paulo
12586174000167,2016-10-20,null,47824944.99,São Paulo
05024659000100,2005-03-16,1.1,14453495.47,São Paulo
48328958000132,2022-12-08,null,981206.52,São Paulo
45017499000188,2022-04-19,0.1411,150167641.59,São Paulo
27882134000130,2017-10-23,null,8893011.84,Minas Gerais
39344840000107,2020-11-17,2,8940141.89,Minas Gerais
06905783000139,2004-12-30,null,19597924.32,São Paulo
00817677000117,2005-03-17,0.45,222487899.93,São Paulo
50269714000178,2023-04-11,null,340819553.09,São Paulo
39281116000181,2020-11-06,5,6293022.87,Minas Gerais
34736474000118,2019-09-24,null,236780267.53,São Paulo
42736004000182,2021-12-29,null,11142306.83,São Paulo
40311750000107,2021-06-24,null,31329809.61,São Paulo
50051913000105,2023-03-23,null,54553165.53,São Paulo
17574820000190,2013-02-28,0.3,1093018.92,São Paulo
03499367000190,2005-03-16,0.4,240294459.84,São Paulo
17340392000130,2014-03-07,0.3,397771815.63,São Paulo
46557432000107,2022-07-07,null,4120348.03,São Paulo
21331225000109,2015-02-10,null,-1519081.16,Rio de Janeiro
47423757000151,2022-10-20,65,328030434.2,Minas Gerais
05627929000169,2005-04-04,0.12,1156960284.35,São Paulo
45521676000169,2022-10-27,null,355153483.58,São Paulo
23781192000116,2016-12-19,null,3092408105.04,São Paulo
50948092000104,2023-06-05,null,20426612.1,São Paulo
43648593000100,2021-12-02,null,14628623.16,São Paulo
09315625000117,2008-07-08,1,12132587.01,Rio de Janeiro
45899460000131,2022-09-28,null,51437667.79,São Paulo
24764405000164,2016-04-18,null,101745974.96,São Paulo
44428854000149,2022-09-25,null,121722430.1,São Paulo
36764134000126,2020-03-25,5,29631575.66,Minas Gerais
97543707000186,2011-08-31,0,207997837.75,São Paulo
38443033000189,2021-02-10,0.98,57158855.76,São Paulo
41751844000151,2022-07-14,null,0,São Paulo
45721977000136,2022-07-19,null,171231492.45,São Paulo
49733651000180,2023-02-27,0.08,12221861.78,Rio de Janeiro
28849641000134,2018-03-19,null,30434543.45,São Paulo
49651245000178,2023-02-17,null,12361162.04,São Paulo
36741133000166,2020-06-30,null,533463846.92,São Paulo
25108905000100,2016-12-09,0.2,104486934.63,São Paulo
50184026000105,2023-04-03,null,33905486.06,São Paulo
36741161000183,2020-07-16,null,46052742.38,São Paulo
50808042000121,2023-05-24,null,476994955.71,São Paulo
46268214000144,2022-06-01,null,221907774.7,São Paulo
48996311000189,2022-12-28,null,7635102.32,São Paulo
14217108000145,2011-11-16,null,325711119.73,São Paulo
51199121000145,2023-06-27,null,3575207.71,São Paulo
42260903000151,2021-07-08,null,584749706.55,Rio de Janeiro
32222722000187,2019-04-03,0.25,1881522726.07,São Paulo
23700564000132,2016-12-13,null,513510.04,São Paulo
45019108000164,2022-03-23,null,13428907.32,São Paulo
39976918000106,2021-01-07,null,44560823.69,São Paulo
14167491000174,2012-05-11,0.02,1400771899.08,São Paulo
09194841000151,2007-11-30,null,180332926.72,São Paulo
33361873000189,2019-06-18,0.07,65628655.68,São Paulo
28065477000174,2019-08-02,null,360336152.72,São Paulo
48373413000148,2022-12-09,null,277602478.53,São Paulo
01356517000180,1996-07-24,null,168781084.39,Rio de Janeiro
12834634000129,2010-10-18,null,372240.51,São Paulo
49176545000142,2023-01-13,null,23446391.81,São Paulo
12239939000192,2011-09-21,2.02,65587716.5,São Paulo
35819219000100,2020-07-24,0.4,1055179864.6,São Paulo
07766151000102,2006-01-09,null,0,Rio de Janeiro
11769285000146,2010-07-23,0.58,2663857309.05,São Paulo
51339815000130,2023-07-07,null,81792663.77,São Paulo
24768711000179,2016-05-18,null,83042735.61,Rio de Janeiro
39784273000100,2020-12-29,null,57316668.92,São Paulo
44680424000110,2022-01-21,null,51529049.21,São Paulo
43105440000116,2021-08-25,null,5886041.3,São Paulo
48389780000130,2022-12-11,null,239776833.04,São Paulo
22773421000198,2016-03-31,0.15,654786059.36,São Paulo
12107669000166,2012-06-01,0.02,2389479880.72,São Paulo
12107422000140,2011-09-06,0.8,192522690.85,São Paulo
21917293000146,2015-03-10,null,1002975.4,São Paulo
27531301000106,2017-05-29,null,47309749.17,São Paulo
50153414000129,2023-03-30,null,34463836.5,São Paulo
40140470000175,2021-03-15,0.5,47323148.28,São Paulo
09087483000188,2010-01-11,2,17207908.88,São Paulo
44570797000138,2021-12-30,null,21583567.41,São Paulo
49974540000165,2023-03-17,null,33982036.65,São Paulo
16734970000150,2012-08-23,null,110529787.77,São Paulo
16703203000184,2013-01-16,0.75,26735208.25,São Paulo
02918931000107,2005-03-28,1.5,28564084.56,São Paulo
46628381000159,2022-07-19,null,6774129.91,São Paulo
47033209000115,2022-07-28,null,85876416.7,Rio de Janeiro
42295379000154,2021-08-16,null,156748030.64,Minas Gerais
50555281000117,2023-05-04,null,16710510.2,São Paulo
49963418000193,2023-03-16,null,193580582.71,São Paulo
34691300000186,2020-04-13,null,15679307.15,São Paulo
41557609000143,2021-09-06,null,45424395.87,São Paulo
08815386000100,2007-08-10,1,10716897.9,Minas Gerais
36098375000183,2020-02-17,null,117868181.76,Minas Gerais
33429343000125,2019-09-18,0.03,361746972.41,São Paulo
36115022000144,2020-08-05,null,153651859.95,São Paulo
36443522000105,2020-02-21,25,1814051772.98,Minas Gerais
28296597000182,2018-06-07,null,53160744.55,São Paulo
44638491000176,2022-11-08,null,31123895.81,São Paulo
42315695000140,2021-08-26,null,32117449.68,Minas Gerais
16570371000149,2012-08-01,2,2771984.61,São Paulo
43236423000118,2021-08-24,null,356313621.32,São Paulo
29881003000163,2019-01-23,0.01,492641344.73,São Paulo
02918923000152,2005-03-28,2,6269533.2,São Paulo
10500895000187,2008-12-02,null,11233527.14,São Paulo
45254732000146,2022-03-10,null,40219833.57,Rio de Janeiro
36312772000106,2020-02-18,null,51206622.27,Minas Gerais
14067624000130,2011-10-28,null,151818.15,São Paulo
35819666000150,2020-06-19,2,1660425541.4,São Paulo
51476870000172,2023-07-19,null,104178933.33,São Paulo
52317521000170,2023-09-26,null,4511806.83,São Paulo
47983885000150,2022-12-08,null,104665260.6,São Paulo
50399189000105,2023-04-20,null,94222443.81,São Paulo
33240249000123,2019-06-21,null,2407666956.62,São Paulo
50226162000110,2023-04-05,null,1559098.21,São Paulo
48996079000189,2022-12-28,null,76400869.35,São Paulo
40211684000195,2021-02-08,null,8814320.26,São Paulo
06985322000113,2012-03-08,32,179116418.71,Minas Gerais
32295244000135,2019-12-26,null,3902898.13,São Paulo
29315301000196,2018-04-03,null,431842036.27,São Paulo
05862906000139,2005-05-30,0.34,503232637.89,São Paulo
45018961000161,2022-05-30,null,25326633.74,São Paulo
22601577000191,2015-07-02,null,1178939215.07,São Paulo
11044355000107,2010-08-09,null,228918338.75,Minas Gerais
44177436000126,2022-01-03,null,400553155.68,São Paulo
36930464000144,2021-04-09,null,675582022.67,Minas Gerais
30130708000128,2018-04-13,null,2763081124.78,São Paulo
33913568000152,2019-12-30,0.09,999393.63,São Paulo
26089666000151,2016-10-31,0.38,109758364.54,Minas Gerais
49983891000132,2023-03-17,null,257317318.62,Rio de Janeiro
44432479000100,2022-05-06,0.2,269810601.66,São Paulo
49963885000113,2023-03-16,null,545889451.38,São Paulo
32203308000120,2019-03-26,0.38,202116637.37,São Paulo
39412078000159,2022-08-24,null,1000846.18,São Paulo
45693226000153,2022-05-23,null,6543725.97,São Paulo
42754444000162,2021-11-29,null,65726719.67,Rio de Janeiro
40670750000195,2021-04-07,null,6356884175.73,São Paulo
18402048000191,2013-07-02,null,571931.15,São Paulo
49112611000110,2023-01-09,null,99273256.37,São Paulo
43876172000136,2022-03-08,null,4142252.66,Minas Gerais
52324762000147,2023-09-26,null,26961795.48,São Paulo
47085583000164,2022-10-18,null,99482670.96,São Paulo
32162536000108,2019-05-15,null,46858947.51,São Paulo
45908305000134,2022-11-22,null,164835294.91,São Paulo
39723229000190,2021-01-27,0.07,69484468.91,São Paulo
45899745000172,2022-10-25,null,105805620.99,São Paulo
09228836000112,2008-01-07,0,647969508.53,São Paulo
42196346000157,2021-08-09,null,28478914.31,São Paulo
02727085000130,2022-04-09,null,1355673.91,Rio de Janeiro
32222912000102,2018-12-21,null,29507808.67,São Paulo
52112338000139,2023-09-08,null,39657633.31,São Paulo
28240255000140,2017-08-30,null,75330990.41,São Paulo
28796986000177,2018-04-27,null,103771102.59,São Paulo
09234078000145,2008-06-04,null,11673771707.4,Distrito Federal
14166140000149,2012-01-18,null,1294014141.12,São Paulo
23120075000101,2022-11-28,null,1438003.41,São Paulo
26452257000178,2017-06-12,null,55024307.24,São Paulo
22809036000153,2016-06-20,0.8,13962072.14,São Paulo
11249598000173,2009-11-11,null,387226795.02,São Paulo
24701488000142,2016-05-11,null,196597902.55,São Paulo
07644864000195,2005-12-27,null,1248536.18,São Paulo
50152676000179,2023-03-30,null,34737947.55,São Paulo
52069691000183,2023-09-04,null,742040018.13,São Paulo
35178253000134,2020-01-10,0.66,356009703.75,Minas Gerais
51804355000174,2023-08-14,null,15759571.48,São Paulo
02668201000197,2005-03-22,0.1,1596279507.29,São Paulo
46780646000130,2022-12-08,null,95040346.5,São Paulo
28549930000118,2017-12-07,null,933563811.39,São Paulo
50311731000126,2023-04-13,null,54841873.99,São Paulo
27368761000157,2019-04-29,null,315840331,São Paulo
01497954000114,1996-10-02,null,157484243.68,Rio Grande do Sul
47716415000120,2022-10-07,1.2,39209496.99,Rio de Janeiro
19831126000136,2014-04-11,1.5,1633861484.91,São Paulo
20998989000181,2022-12-06,null,12237906.79,São Paulo
11326746000106,2010-05-28,null,406820772.71,São Paulo
29315285000131,2018-10-02,null,12770599.47,São Paulo
16685929000131,2023-02-13,null,621389246.97,Rio de Janeiro
34644159000160,2019-11-04,null,378206753.54,São Paulo
04192419000143,2005-03-15,0.8,37352822.79,São Paulo
09636619000161,2008-10-02,0.22,776682897.59,São Paulo
34835191000123,2019-09-23,null,134149474.41,Minas Gerais
36655944000144,2020-09-10,null,5050323.26,São Paulo
51305991000151,2023-07-05,0.695,43171465.16,Minas Gerais
21838483000178,2015-08-19,null,510867745.2,São Paulo
17517577000178,2013-08-13,0.4,101337603.88,São Paulo
40054913000105,2021-07-05,null,26277331.51,São Paulo
07408147000164,2005-04-11,null,19103.37,Pará
09087523000191,2010-01-11,2.5,40660882.48,São Paulo
05437916000127,2002-12-10,null,126643041.61,São Paulo
41114606000135,2021-03-09,null,237750155.58,São Paulo
13243834000170,2011-03-01,null,null,São Paulo
37828802000102,2021-07-19,null,5956004.96,São Paulo
41833315000105,2021-05-24,null,31210946.4,São Paulo
07110975000111,2005-02-11,0,4371603243.35,São Paulo
14167479000160,2011-10-21,1.2,26875077.81,São Paulo
45018911000184,2022-05-11,null,17743849.56,São Paulo
27531244000157,2017-06-29,null,24371096.33,São Paulo
33361831000148,2019-06-18,0.9,19493977.7,São Paulo
47166761000181,2022-07-21,null,94433680.23,São Paulo
50191107000132,2023-04-03,null,176282870.32,São Paulo
51029588000147,2023-06-13,0,479986552.65,São Paulo
49651181000105,2023-02-17,null,42321000.33,São Paulo
11108013000103,2009-09-25,2,83371655.02,São Paulo
52073804000114,2023-09-04,null,226723890.56,São Paulo
49224039000181,2023-01-17,null,4801607.67,São Paulo
33361657000133,2019-06-18,0.9,25222189.95,São Paulo
24874305000190,2016-05-27,null,1367467977.16,São Paulo
30282227000138,2018-10-30,4,39573974.25,São Paulo
00819889000133,2005-03-17,1,57298727.78,São Paulo
15049586000156,2012-03-23,null,2110822930.21,São Paulo
14951577000193,2012-05-10,1,91101461.63,São Paulo
46778844000169,2022-12-09,null,185575837.49,São Paulo
21596006000143,2015-01-19,0.12,240575854.79,São Paulo
12124044000102,2010-08-26,1.5,553956292.03,São Paulo
27486551000163,2017-06-02,null,604067.12,São Paulo
50750438000165,2023-05-19,null,323975648.65,Rio de Janeiro
36412972000130,2020-09-10,null,5156801.75,São Paulo
06905783000139,2004-12-30,null,19597924.32,São Paulo
27531301000106,2017-05-29,null,47309749.17,São Paulo
02918931000107,2005-03-28,1.5,28564084.56,São Paulo
02918923000152,2005-03-28,2,6269533.2,São Paulo
28240255000140,2017-08-30,null,75330990.41,São Paulo
26452257000178,2017-06-12,null,55024307.24,São Paulo
27486551000163,2017-06-02,null,604067.12,São Paulo
27531301000106,2017-05-29,null,47309749.17,São Paulo
28240255000140,2017-08-30,null,75330990.41,São Paulo
27486551000163,2017-06-02,null,604067.12,São Paulo
27531301000106,2017-05-29,null,47309749.17,São Paulo
28240255000140,2017-08-30,null,75330990.41,São Paulo
